LithologyCode,LithNumber,OldIDNumber,LAT,NS,LONG,EW,Continent,Country,GeogComments,start,end,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso,LocalURN
E,1,E5034,30,N,7,E,Africa,Algeria,eastern Algeria,89.8,66,Upper,Cretaceous,Senonian,"Busson(1970b  Fig. 100)  for widspread Cenomanian as well as ""Senonian""",Evaporites,,,Merabet Popov(1972),see also Claret Tempere(1967); Busson Cornee(1991),1
E,2,E5035,29,N,0,,Africa,Algeria,Timimoun Basin,89.8,66,Upper,Cretaceous,Senonian,,Evaporites,,,Sonatrach(1979),,2
E,3,E5036,33,N,2,E,Africa,Algeria,western Saharan Atlas,89.8,66,Upper,Cretaceous,,mid-Cretaceous,Evaporites,,,Sonatrach(1979),,3
E,4,E5038,31,N,26.5,E,Africa,Egypt,,89.8,66,Upper,Cretaceous,Satonian-Coniacian,,Evaporites,Ano Roash,anhydrite  ,Abdel-Kireen et al.(1996),,4
E,5,E5039,5,N,5,E,Africa,Ethiopia,Ogadan region,89.8,66,L - U?,Cretaceous,,,Gypsum,Mustahil and Ferer Gypsums Frms,,Barnes(1967),,5
E,6,E5043,31,N,13,E,Africa,Libya,,89.8,66,Upper,Cretaceous,Maastrichtian,,Gypsum,Upper and Lower Tar Marl Members,,Lefeld Uberna(1992),,6
E,7,E5044,31,N,12,E,Africa,Libya,northwestern Libya,89.8,66,Upper,Cretaceous,Campanian,,Gypsum,Mizdah and Al Gharbiyah Frms,,Mairn Salaj(1992),,7
E,8,E5045,29,N,16,E,Africa,Libya,northern Libya,89.8,66,Upper,Cretaceous,Maastrichtian,,Gypsum,,,Eliagoubi Powell(1980),,8
E,9,E5045.2,31,N,14.5,E,Africa,Libya,,89.8,66,Upper,Cretaceous,Maastrichtian,,Evaporites,Lower Tar Member,,Imam(2001),,9
E,10,E5045.3,27.5,N,22.5,E,Africa,Libya,,89.8,66,Upper,Cretaceous,Campanian and Maastrichtian,,Evaporites,Rakb II and I,,Bu-Argoub(1996),,10
E,11,E5042,30,N,10,E,Africa,Libya,western Libya,89.8,66,Upper,Cretaceous,Campanian,,Gypsum,Thala Member of the Mizdah Frm,,Troger Rohlich(1992),,11
E,12,E5045.1,25,N,23.8,E,Africa,Libya,north side of the Kufra Basin,89.8,66,Upper,Cretaceous,under Campanian-Maastrichtian,,Evaporites,,fossiliferous carbonates,Luning et al.(2000),,12
E,13,E5045.4,31,N,14.5,E,Africa,Libya,,89.8,66,Upper,Cretaceous,Maastrichtian,,Evaporites,Lower Tar Member,,Imam(2001),,13
E,14,E5046,20,N,0,,Africa,Mali,northeastern Mali  west of Adrar des Isforas ,89.8,66,Upper,Cretaceous,,,Gypsum,,,Lefranc Guiraud(1990),,14
E,15,E5048,31,N,-5,W,Africa,Morocco,mid and High Atlas,89.8,66,Upper,Cretaceous,Cenomanian-Turonian to Campanian,,Evaporites,,,Ziegler(1988 Pl. 28),,15
E,16,E5049,31,N,-9,W,Africa,Morocco,d'Imi n'Tanout,89.8,66,Upper,Cretaceous,Cenomanian and Maastrichtian,,Evaporites,,,Daoudi Deconinck(1994),,16
E,17,E5047,33,N,-7,W,Africa,Morocco,,89.8,66,Upper,Cretaceous,Senonian,,Evaporites,,,Salvan(1972),,17
E,18,E5050,-24,S,35,E,Africa,Mozambique,,89.8,66,Upper,Cretaceous,Late Campanian-Maastrichtian,,Evaporites,Grudja,,Forster(1975),,18
E,19,E5051,18,N,7,E,Africa,Niger,,89.8,66,Upper,Cretaceous,Cenomanian-Turonian as well as in the Senonian,see also Moody(1997)  for Cenomanian and Turonian,Evaporites,,gypsiferous clays and salt,Greigert(1966),,19
E,20,E5053,13,N,6,E,Africa,Nigeria,northwestern Nigeria,89.8,66,Upper,Cretaceous,Maastrichtian,,Gypsum,Dukamaje Frm overlying the coal-bearing Taloka Frm,,Petters(1979),,20
E,21,E5053.1,6,N,8,E,Africa,Nigeria,,89.8,66,Upper,Cretaceous,Campanian-Maastrichtian,,Evaporites,"""Lower Coal Measures""",,Salami(1991),,21
E,22,E5054,13,N,10,E,Africa,Nigeria,Chad Basin,89.8,66,Upper,Cretaceous,Turonian-Santonian,,Evaporites,Fika Shale,Kinasar- 1 borehole,Okosun(1992),,22
E,23,E5055,5,N,48,E,Africa,Somalia,coastal Somalia,89.8,66,L - U?,Cretaceous,,,Evaporites,,,Barnes(1976),see also Mbede Dualeh(1997),23
E,24,E5056,-27,S,33,E,Africa,South Africa,,89.8,66,Upper,Cretaceous,Coniacian to Campanian,,Evaporites,,,Dingle et al.(1983  Fig.131  and p. 221),,24
E,25,E5057,-25,S,33,E,Africa,South Africa,,89.8,66,Upper,Cretaceous,Campanian,,Evaporites,,,Dingle et al.(1983  Fig.131  and p. 221),,25
E,26,E5058,-20,S,25,E,Africa,South Africa,northern Botswana,89.8,66,Upper,Cretaceous,,,Evaporites,Kalahari Group,possible lacustrine evaporites,Duplessis Le Roux(1995),,26
E,27,E5061,37,N,82,E,Asia,China,Northwest China:southern Xinjiang,89.8,66,Upper,Cretaceous,Maastrichtian Turonian-Santonian,,Evaporites,,marine evaporites,Pan Hua-Zhang(1990),,27
E,28,E5062,40,N,75,E,Asia,China,Northwest China:Wucha,89.8,66,Upper,Cretaceous,,,Gypsum,Kukeba and Wuyikake Frms,,The Compiling Group of the Regional Stratagraphic Chart of Xinjiang(1981),,28
E,29,E5063,38,N,76,E,Asia,China,Northwest China:southern Yinjisha,89.8,66,Upper,Cretaceous,,,Gypsum,Kukeba and Wuyikake and Yinjisha Frms,,The Compiling Group of the Regional Stratagraphic Chart of Xinjiang(1981),,29
E,30,E5064,38,N,78,E,Asia,China,Northwest China:Pishan,89.8,66,Upper,Cretaceous,,,Gypsum,Keliyang,,The Compiling Group of the Regional Stratagraphic Chart of Xinjiang(1981),,30
E,31,E5064.1,37.3,N,86.5,E,Asia,China,Northwest China:Tula,89.8,66,L - U?,Cretaceous,,,Gypsum,,,The Compiling Group of the Regional Stratagraphic Chart of Xinjiang(1981),,31
E,32,E5064.2,37,N,103,E,Asia,China,Northwest China:Yongdeng,89.8,66,L - U?,Cretaceous,,,Gypsum,,,The Stratigraphic Team of Qilianshan  Academia Sinica(1963),,32
E,33,E5065,28,N,102,E,Asia,China,South China:Sichuan-Yunnan region,89.8,66,L - U?,Cretaceous,,,Evaporites,,,Sun Shu et al.(1989),,33
E,34,E5066,32,N,113,E,Asia,China,South China:Zaoyang,89.8,66,Upper,Cretaceous,,,Evaporites,,gypsum  rock salt and glaubers salt,The Compiling Group of the Regional Stratagraphic Chart of central-South China(1974),,34
E,35,E5067,31,N,112,E,Asia,China,South China:Dangyang-Jinmeng,89.8,66,Upper,Cretaceous,,,Evaporites,,gypsum  rock salt and glaubers salt,The Compiling Group of the Regional Stratagraphic Chart of central-South China(1974),,35
E,36,E5068,30,N,112,E,Asia,China,South China:Jiangling,89.8,66,Upper,Cretaceous,,,Evaporites,Jiangling,gypsum  rock salt and glaubers salt-bearing mudstones as well as gypsum and rock salt beds,The Compiling Group of the Regional Stratagraphic Chart of central-South China(1974),,36
E,37,E5069,30,N,113.5,E,Asia,China,South China:Honghu,89.8,66,Upper,Cretaceous,,,Evaporites,Jiangling,gypsum  rock salt and glaubers salt-bearing mudstones as well as gypsum and rock salt beds,The Compiling Group of the Regional Stratagraphic Chart of central-South China(1974),,37
E,38,E5070,30.5,N,113,E,Asia,China,South China:Quanjiang-Tianmeng,89.8,66,Upper,Cretaceous,,,Evaporites,Jiangling,gypsum  rock salt and glaubers salt-bearing mudstones as well as gypsum and rock salt beds,The Compiling Group of the Regional Stratagraphic Chart of central-South China(1974),,38
E,39,E5071,31,N,113,E,Asia,China,South China:Jingshan,89.8,66,Upper,Cretaceous,,,Gypsum,Gonganzai,,The Compiling Group of the Regional Stratagraphic Chart of central-South China(1974),,39
E,40,E5072,27.5,N,111.5,E,Asia,China,South China:Shaodong-Xinhua,89.8,66,Upper,Cretaceous,,Upper Cretaceous(?),Evaporites,,gypsum  rock salt and glaubers salt,The Compiling Group of the Regional Stratagraphic Chart of central-South China(1974),,40
E,41,E5073,27.5,N,113.5,E,Asia,China,South China:Liling area,89.8,66,Upper,Cretaceous,,,Gypsum,Dajiaping,,The Compiling Group of the Regional Stratagraphic Chart of central-South China(1974),,41
E,42,E5074,24,N,116,E,Asia,China,South China:Xingning,89.8,66,Upper,Cretaceous,,,Gypsum,Dengta Group,,The Compiling Group of the Regional Stratagraphic Chart of central-South China(1974),,42
E,43,E5075,32,N,119,E,Asia,China,South China:Jurong,89.8,66,Upper,Cretaceous,,,Gypsum,Pukou,,Wu Qi-qie(1989),,43
E,44,E5076,32.5,N,120,E,Asia,China,South China:Taizhou,89.8,66,Upper,Cretaceous,,,Gypsum,Pukou,,Wu Qi-qie(1989),,44
E,45,E5077,33.5,N,119,E,Asia,China,South China:Huaian,89.8,66,Upper,Cretaceous,,,Evaporites,Pukou,Gypsum  rock salt and glaubers salt,Wu Qi-qie(1989),,45
E,46,E5078,24.5,N,113.5,E,Asia,China,South China:Qujiang,89.8,66,Upper,Cretaceous,,,Evaporites,Changba,,Zhang Xian-quo(1991),,46
E,47,E5079,29.2,N,119.5,E,Asia,China,South China:Lanxi,89.8,66,Upper,Cretaceous,,,Gypsum,Lanxi,,Zhang Xian-quo(1991),,47
E,48,E5079.1,30.8,N,103.9,E,Asia,China,South China:Sichuan-Pixan,89.8,66,Upper,Cretaceous,,,Evaporites,Guankou,,Wang Meng-jun Zeng Liang-kui(1982),,48
E,49,E5079.2,30.6,N,103.8,E,Asia,China,South China:Sichuan-Wenjiang,89.8,66,Upper,Cretaceous,,,Evaporites,Guankou,,Wang Meng-jun Zeng Liang-kui(1982),,49
E,50,E5079.3,30.6,N,103.6,E,Asia,China,South China:Sichuan-Chongqing,89.8,66,Upper,Cretaceous,,,Evaporites,Guankou,,Wang Meng-jun Zeng Liang-kui(1982),,50
E,51,E5079.4,30.5,N,103.9,E,Asia,China,South China:Sichuan-Shuangliu,89.8,66,Upper,Cretaceous,,,Evaporites,Guankou,,Wang Meng-jun Zeng Liang-kui(1982),,51
E,52,E5079.5,30.4,N,103.4,E,Asia,China,South China:Sichuan-Qionglai,89.8,66,Upper,Cretaceous,,,Evaporites,Guankou,,Wang Meng-jun Zeng Liang-kui(1982),,52
E,53,E5079.6,30.1,N,103,E,Asia,China,South China:Sichuan-Mingshan,89.8,66,Upper,Cretaceous,,,Evaporites,Guankou,,Wang Meng-jun Zeng Liang-kui(1982),,53
E,54,E5079.7,30.2,N,103.5,E,Asia,China,South China:Sichuan-Pujiang,89.8,66,Upper,Cretaceous,,,Evaporites,Guankou,,Wang Meng-jun Zeng Liang-kui(1982),,54
E,55,E5079.8,30.2,N,103.8,E,Asia,China,South China:Sichan-Pengshan,89.8,66,Upper,Cretaceous,,,Evaporites,Guankou,,Wang Meng-jun Zeng Liang-kui(1982),,55
E,56,E5079.9,29.9,N,102.9,E,Asia,China,South China:Sichuan-Yaan,89.8,66,Upper,Cretaceous,,,Evaporites,Guankou,,Wang Meng-jun Zeng Liang-kui(1982),,56
E,57,E5079.10,29.9,N,103.3,E,Asia,China,South China:Sichuan-Hongya,89.8,66,Upper,Cretaceous,,,Evaporites,,,Wang Meng-jun Zeng Liang-kui(1982),,57
E,58,E5079.11,31.6,N,113.3,E,Asia,China,South China:Jiangcheng Hubei,89.8,66,Upper,Cretaceous,,,Evaporites,Mengyejing,gypsum and salt,Chen Pei-ji(1975),,58
E,59,E5079.12,27,N,114.9,E,Asia,China,South China:Jian,89.8,66,L - U?,Cretaceous,,,Evaporites,,gypsum and rock salt,LiaoRui-jun(2000),,59
E,60,E5079.13,26.7,N,114.8,E,Asia,China,South China:Taihe,89.8,66,L - U?,Cretaceous,,,Evaporites,,gypsum and rock salt,LiaoRui-jun(2000),,60
E,61,E5079.14,26.6,N,114.4,E,Asia,China,South China:Xingjiang,89.8,66,L - U?,Cretaceous,,,Evaporites,,gypsum and rock salt,LiaoRui-jun(2000),,61
E,62,E5079.15,25.3,N,115.7,E,Asia,China,South China:Qingjiang Huizhong Zhoutian,89.8,66,L - U?,Cretaceous,,,Evaporites,,gypsum and rock salt,LiaoRui-jun(2000),,62
E,63,E5080,43,N,75,E,Asia,C.I.S.(fmr USSR),east of Frunze,89.8,66,Upper,Cretaceous,,Late Cretacous-Eocene,Evaporites,,,Lukyanov(1981),,63
E,64,E5082,39,N,70,E,Asia,C.I.S.(fmr USSR),Tadzhikistan,89.8,66,Upper,Cretaceous,,,Evaporites,,,Khakimov(1996),,64
E,65,E5084,-1,S,132,E,Asia,Indonesia, ,89.8,66,Upper,Cretaceous,,or earliest Tertiary,Evaporites,,anhydrite  ,Visser Hermes(1962  p. 78),,65
E,66,E5085,30,N,51,E,Asia,Iran,,89.8,66,Upper,Cretaceous,Cenomanian and Campanian,,Evaporites,,,Murris(1980  Figs. 19 21),,66
E,67,E5086,35,N,44,E,Asia,Iraq,central Iraq,89.8,66,Upper,Cretaceous,Senonian-Campanian,,Evaporites,Safawi Member of the Hartha Frm,,Sadooni(1996),,67
E,68,E5087,31,N,35,E,Asia,Israel,,89.8,66,Upper,Cretaceous,Senonian(Santonian-Campanian),,Evaporites,,,Steinitz(1977),,68
E,69,E5088.1,29,N,48,E,Asia,Kuwait,,89.8,66,Upper,Cretaceous,,,Evaporites,Aruma Group,,El-Naggar El-Nakha(1990),,69
E,70,E5089,18,N,103,E,Asia,Laos,Ventiane,89.8,66,L - U?,Cretaceous,,,Evaporites,,,Fontaine Workman(1978),,70
E,71,E5090,44,N,110,E,Asia,Mongolia,southeastern Mongolia,89.8,66,Upper,Cretaceous,,,Evaporites,,lacustrine evaporite,Adamenko Davidova(1982  Plate 6),,71
E,72,E5092,39,N,40,E,Asia,Turkey,central and eastern Turkey,89.8,66,L - U?,Cretaceous,,,Evaporites,,,Uygun(1980),,72
E,73,E5093,21,N,104,E,Asia,Vietnam & Laos,Yeu Chau,89.8,66,Upper,Cretaceous,,,Evaporites,,nonmarine evaporites,Vu Khuc(written comm. 1994  1996  2000),,73
E,74,E5094,18,N,103,E,Asia,Vietnam & Laos,Ventiane,89.8,66,Upper,Cretaceous,,,Evaporites,,nonmarine evaporites,Vu Khuc(written comm. 1994  1996  2000),,74
