reference,location,biome,site,Phenology / Leaf Form,Growth Form / Stature,Common Name,Species Name,max_root_depth,method,profile,P_mm,Seasonality,PET_mm,Topo Position,wt_range,wtd,Texture / Type,Hardpan Nature,depth_m,bedrock,bed_depth,human,latitude,longitude,altitude,authornotes,notes,root_depth
"Aaltonen, 1920","Lapland, Sodankyla, N. Finland",boreal forest,Kaunisvaaran kangas,evergreen needle-leaf,tree,pine,Pinus sp.,0.98,excavation,drawings,NA,NA,NA,NA,NA,NA,"sandy, stone",NA,NA,NA,NA,NA,67.247,26.8505,170,NA,"mean of 12 pines (1, 0.75, 0.35, 1.25, 0.5, 0.85, 0.5, 0.6, 1.55, 2.45, 0.9, 1)",0.98
"Aaltonen, 1920","Lapland, Sodankyla, N. Finland",boreal forest,Pitkän palot,evergreen needle-leaf,tree,pine,Pinus sp.,1,excavation,drawings,NA,NA,NA,NA,NA,NA,stone-free heath sand,NA,NA,NA,NA,NA,67.8536,26.6652,228,NA,"mean of 3 pines (1.2, 0.8, 1)",1
"Aaltonen, 1920","Lapland, Sodankyla, N. Finland",boreal forest,Rakkiluoston kangas,evergreen needle-leaf,tree,pine,Pinus sp.,0.56000000000000005,excavation,drawings,NA,NA,NA,NA,NA,NA,much stone,NA,NA,NA,NA,NA,67.1522,26.94,238,NA,"mean of 7 pines (1.8, 0.5, 0.15, 0.3, 0.2, 0.8, 0.2)",0.56
"Aaltonen, 1920","Lapland, Sodankyla, N. Finland",boreal forest,Ojalahden Lehto,evergreen needle-leaf,tree,spruce,Picea sp.,0.9,excavation,drawings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6373,25.3457,100,NA,"mean of 4 spruce (0.9, 0.9, 0.8, 1)",0.9
"Aaltonen, 1920","Lapland, Sodankyla, N. Finland",boreal forest,Pitkan palot,deciduous broard-leaf,tree,birch,Betula sp.,0.85,excavation,drawings,NA,NA,NA,NA,NA,NA,stone-free heath sand,NA,NA,NA,NA,NA,67.8536,26.6652,228,NA,"mean of 2 birch (0.9, 0.8)",0.85
Abbott et al. 1991,"SE Idaho, INEL",semi-arid shrub-steppe,undisturbed site,perennial rhizomatous,bunch grass,crested wheatgrass,Agropyron cristatum L.,0.75 - 1,131I radio tracer,yes,224,36% in Apr-Jun,NA,NA,NA,NA,"sandy loam to clay; calcic Aridisols of eolian origin, shallow and variable in depth",NA,NA,basalt,1.25,transplanteed 2yr ago,43.5227,-112.0525,1441,"Soil moisture, rather than soil disturbance, seemed to dictate root depth; The field work for this study was conducted in June and July of 1987 and 1988, two very dry years that received only half of the usual winter soil moisture recharge; Variations in the soil water content are frequently the major cause of differences in maximum rooting depth; soil moisture is measured to the maximum depth allowed (20-141 cm) by the underlying bedrock; The maximum root depths observed for shrubs were less than those reported in other studies for larger, more mature plants m'26) possibly because the shrubs examined were young plants 15-30 cm in height that had been transplanted 2 years earlier. Shallow basalt did not seem to limit maximum rooting depth. In three out of 12 root profiles (Fig. 3), the underlying basalt prevented deeper investigation than the maximum depth at which roots were detected. In all three of these cases, the maximum root depth in the adjacent soil type (where basalt was deeper) was less than that with
the shallow basalt.","nice data showing how the wetting depth and the resulting soil moisure profile determines rooting depth, regardless distrubance - all it matters is the depth of soil wetting; site location guessed, to be near the INEL on an undistrubed lot",0.75
Abbott et al. 1991,"SE Idaho, INEL",semi-arid shrub-steppe,undisturbed site,perennial,grass,bottlebrush squirreltail,Elymus elymoides (Raf.) Sweezy,0.5 - 0.75,131I radio tracer,yes,224,36% in Apr-Jun,NA,NA,NA,NA,"sandy loam to clay; calcic Aridisols of eolian origin, shallow and variable in depth",NA,NA,basalt,NA,transplanteed 2yr ago,43.5227,-112.0525,1441,NA,NA,0.5
Abbott et al. 1991,"SE Idaho, INEL",semi-arid shrub-steppe,undisturbed site,perennial,grass,stream bank wheatgrass,Elymus lanceolatus (Scribner & J. G. Smith) Gould,0.75 - 1,131I radio tracer,yes,224,36% in Apr-Jun,NA,NA,NA,NA,"sandy loam to clay; calcic Aridisols of eolian origin, shallow and variable in depth",NA,NA,basalt,1.25,transplanteed 2yr ago,43.5227,-112.0525,1441,NA,NA,0.75
Abbott et al. 1991,"SE Idaho, INEL",semi-arid shrub-steppe,undisturbed site,perennial,grass,basin wildrye,Leymus cinerus (Scribner & Merrill) A. Love,1 - 1.25,131I radio tracer,yes,224,36% in Apr-Jun,NA,NA,NA,NA,"sandy loam to clay; calcic Aridisols of eolian origin, shallow and variable in depth",NA,NA,basalt,1.25,transplanteed 2yr ago,43.5227,-112.0525,1441,NA,NA,1
Abbott et al. 1991,"SE Idaho, INEL",semi-arid shrub-steppe,undisturbed site,evergreen needle-leaf,shrub,big sagebrush,Artemesia tridentata ssp. wyomingensis),0.75 - 1,131I radio tracer,yes,224,36% in Apr-Jun,NA,NA,NA,NA,"sandy loam to clay; calcic Aridisols of eolian origin, shallow and variable in depth",NA,NA,basalt,NA,transplanteed 2yr ago,43.5227,-112.0525,1441,NA,NA,0.75
Abbott et al. 1991,"SE Idaho, INEL",semi-arid shrub-steppe,undisturbed site,deciduous broard-leaf,shrub,"yellow rabbitbrush, green rabbitbrush",Chrysothamnus viscidiflorus (Hook.) Nutt.,1 - 1.25,131I radio tracer,yes,224,36% in Apr-Jun,NA,NA,NA,NA,"sandy loam to clay; calcic Aridisols of eolian origin, shallow and variable in depth",NA,NA,basalt,NA,transplanteed 2yr ago,43.5227,-112.0525,1441,NA,NA,1
